ID,Template
s1,nohup: ignoring input
s2,====== Start obtain and cache Kerberos ticket-granting ticket ======
s3,Password for <*>:
s4,==================== Start execute hibench test ======================
s5,mkdir: cannot create directory <*>: File exists
s6,Start changing datasize ...
s7,Creating <*> data ...
s8,patching args=
s9,Parsing conf: <*>
s10,probe sleep jar: <*>
s11,please set <*> and <*> manually
s12,<*>: line <*>: .: filename argument required
s13,start <*> bench
s14,hdfs rm -r: <*> --config <*> fs -rm -r -skipTrash <*>
s15,Deleted <*>
s16,Submit MapReduce Job: <*> --config <*> jar <*> HiBench.DataGen -t <*> -b <*> -n <*> -m <*> -r <*> -p <*> -class <*> -o sequence
s17,<*> <*> INFO <*>: Connecting to Application History server at <*>
s18,"<*> <*> INFO <*>: Created token for <*>: <*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*> on <*>"
s19,"<*> <*> INFO <*>: Getting new token from <*>, renewer:<*>"
s20,"<*> <*> INFO <*>: New token received: (Kind: <*>, Service: <*>, Ident: (token for team7: <*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>))"
s21,"<*> <*> INFO <*>: New token received: (Kind: <*>, Service: <*>, Ident: (kms-dt owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>))"
s22,"<*> <*> INFO <*>: Got dt for <*>; Kind: <*>, Service: <*>, Ident: (<*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=1<*>, sequenceNumber=<*>, masterKeyId=<*>)"
s23,<*> <*> INFO <*>: Disabling Erasure Coding for path: <*>
s24,<*> <*> INFO <*>: Generating <*> using <*>
s25,<*> <*> INFO <*>: number of splits:<*>
s26,<*> <*> INFO <*>: Submitting tokens for job: <*>
s27,"<*> <*> INFO <*>: Executing with tokens: [Kind: <*>, Service: <*>, Ident: (token for team7: <*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=8531678, masterKeyId=1042), Kind: kms-dt, Service: <*>, Ident: (kms-dt owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>)]"
s28,<*> <*> INFO <*>: found resource <*> at <*>
s29,<*> <*> INFO <*>: Timeline service address: <*>
s30,<*> <*> INFO <*>: Submitted application <*>
s31,<*> <*> INFO <*>: The url to track the job: <*>
s32,<*> <*> INFO <*>: Running job: <*>
